start_timestamp,end_timestamp,x,y
1744745644.6134825,1744745644.6134825,0.6237200200557709,0.4478939771652221
1744745644.7297,1744745644.7297,0.6213541626930237,0.4473218917846679
1744745644.778818,1744745644.962639,,
1744745645.213217,1744745645.213217,0.6590479016304016,0.3669147193431854
1744745645.3302271,1744745645.3302271,0.6543452441692352,0.3841125518083572
1744745645.3967478,1744745645.3967478,0.6553499400615692,0.3769883215427398
1744745645.4462686,1744745645.4462686,0.655547022819519,0.3742125332355499
1744745645.4793394,1744745645.4793394,0.6531539559364319,0.3750866502523422
1744745645.5303946,1744745645.5303946,0.6573504507541656,0.3807715177536011
1744745645.76361,1744745645.76361,0.6554091572761536,0.3740949779748916
1744745645.7965322,1744745645.7965322,0.6539953649044037,0.380326434969902
1744745645.963686,1744745645.963686,0.6548818945884705,0.382623016834259
1744745646.1131933,1744745646.1302476,0.6555857807397842,0.3768751919269562
1744745646.1789038,1744745646.3305137,,
1744745646.4629047,1744745646.4629047,0.6602100133895874,0.3717955946922302
1744745646.6965098,1744745646.7131858,0.6566412448883057,0.3722342476248741
1744745646.7803388,1744745646.7803388,0.6568740606307983,0.3733604103326797
1744745646.8131845,1744745646.8131845,0.655858188867569,0.3775347024202347
1744745647.0965784,1744745647.0965784,0.6535861194133759,0.370979368686676
1744745647.2798731,1744745647.296449,0.6605792045593262,0.38271064311265945
1744745647.363388,1744745647.3802807,0.6602503210306168,0.38554641604423523
1744745647.4135993,1744745647.4296353,0.6569139212369919,0.3885131850838661
1744745647.462438,1744745647.6296687,,
1744745648.096441,1744745648.096441,0.6555362045764923,0.3811431527137756
1744745648.2797494,1744745648.2797494,0.6522277295589447,0.3771363794803619
1744745648.3127773,1744745648.3304784,0.6505078971385956,0.37424762547016144
1744745648.479865,1744745648.4965067,0.6477673351764679,0.37896246463060373
1744745648.5473444,1744745648.5473444,0.6522452235221863,0.3744085878133774
1744745648.6307707,1744745648.6307707,0.6503047347068787,0.3805705159902572
1744745648.729526,1744745648.729526,0.6549579203128815,0.3738712966442108
1744745648.8636637,1744745648.8636637,0.661129504442215,0.3757976591587066
1744745648.8964362,1744745648.9131927,0.6616988927125931,0.3779238238930702
1744745649.0806382,1744745649.0806382,0.6487288475036621,0.3885526955127716
1744745649.129607,1744745649.1466186,0.6511063426733017,0.37826917320489883
1744745649.2845333,1744745649.2845333,0.6499492526054382,0.3788136541843414
1744745649.361545,1744745649.529578,,
1744745649.6799026,1744745649.6799026,0.6414843499660492,0.3980869650840759
1744745649.713378,1744745649.713378,0.6427077949047089,0.4010053426027298
1744745649.929783,1744745649.929783,0.656836748123169,0.3883262872695923
1744745650.130621,1744745650.130621,0.6560181975364685,0.3787210136651993
1744745650.179224,1744745650.179224,0.6560298800468445,0.3780968487262726
1744745650.246545,1744745650.246545,0.654140442609787,0.3844961524009704
1744745650.2803202,1744745650.2803202,0.65052729845047,0.3768128603696823
1744745650.31339,1744745650.31339,0.6547696590423584,0.3752986192703247
1744745650.4966218,1744745650.512673,0.6265604943037033,0.4705686420202255
1744745650.9619026,1744745651.1126463,,
1744745651.1967645,1744745651.1967645,0.6525754630565643,0.3818982243537903
1744745651.2963104,1744745651.2963104,0.6607581377029419,0.3627737164497375
1744745651.4134345,1744745651.4464855,0.6579428215821584,0.36068723102410627
1744745651.546534,1744745651.546534,0.6592857837677002,0.3718123883008957
1744745651.5965085,1744745651.5965085,0.6581960022449493,0.3801444917917251
1744745651.7298272,1744745651.7298272,0.6546994745731354,0.3652336597442627
1744745651.9467168,1744745651.9467168,0.6343904137611389,0.4338552355766296
1744745652.17972,1744745652.215248,0.6287379364172617,0.43333963056405383
1744745652.2797043,1744745652.2797043,0.6305415332317352,0.4359141290187835
1744745652.3639283,1744745652.3792973,0.6291831135749817,0.44208984076976776
1744745652.446357,1744745652.4633937,0.6267629712820053,0.4399015679955482
1744745652.6135836,1744745652.6135836,0.6290869414806366,0.439645305275917
1744745652.6797793,1744745652.6797793,0.6257850527763367,0.4364529103040695
1744745652.7464914,1744745652.863249,,
1744745652.9964373,1744745652.9964373,0.634624570608139,0.4385482519865036
1744745653.0952635,1744745653.2463465,,
1744745653.3462043,1744745653.3462043,0.631239503622055,0.4366851300001144
1744745653.46165,1744745653.6295185,,
1744745653.929683,1744745653.929683,0.6403507590293884,0.4402422308921814
1744745653.9623797,1744745653.9623797,0.6387346088886261,0.4440300464630127
1744745653.9964004,1744745653.9964004,0.6402102708816528,0.4398883581161499
1744745654.046229,1744745654.046229,0.6406418979167938,0.439293161034584
1744745654.1466365,1744745654.1466365,0.6378569304943085,0.4488521367311477
1744745654.879724,1744745654.879724,0.7325145900249481,0.5097015351057053
1744745654.9132328,1744745654.9297247,0.7352093756198883,0.508932963013649
1744745655.0463376,1744745655.0463376,0.7988995015621185,0.6018847823143005
1744745655.079455,1744745655.079455,0.801123321056366,0.5984030663967133
1744745655.2465746,1744745655.2465746,0.7456436157226562,0.6814558506011963
1744745655.6464863,1744745655.6464863,0.5612688362598419,0.6602509617805481
1744745655.7803512,1744745655.7803512,0.5754593908786774,0.7459203600883484
